trial_number	practice_or_real	date_time	subj_code	seed	number_of_blocks	up_resp	expName	block_num	filename	displayed_string	orientation	true_angle	tilt_direction	standard_position	adjust_stim_position	matched_angle	signed_error	absolute_error	RT	num_mouse_wheel_up	num_mouse_wheel_down
99	real	2022-10-12 14:03	tilt_masmith59	10	1	right	Exercise 5	1	7-44_upright_12_left	7-44	upright	12	left	(34, 4)	(13, 12)	-9.0	3.0	3.0	1716	0	9
100	real	2022-10-12 14:03	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_upright_6_left	ycyc	upright	6	left	(30, 9)	(-37, -11)	-3.0	3.0	3.0	2551	0	3
101	real	2022-10-12 14:03	tilt_masmith59	10	1	right	Exercise 5	1	7-44_upright_2_left	7-44	upright	2	left	(-40, -12)	(-37, 11)	1.0	3.0	3.0	1568	8	7
102	real	2022-10-12 14:03	tilt_masmith59	10	1	right	Exercise 5	1	7-44_upright_16_right	7-44	upright	16	right	(-33, 6)	(-18, -12)	9.0	-7.0	7.0	1168	9	0
103	real	2022-10-12 14:04	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_inverted_16_right	ycyc	inverted	16	right	(9, -13)	(-39, 6)	13.0	-3.0	3.0	1235	13	0
104	real	2022-10-12 14:04	tilt_masmith59	10	1	right	Exercise 5	1	7-44_inverted_2_right	7-44	inverted	2	right	(15, 8)	(-17, 4)	8.0	6.0	6.0	2184	8	0
105	real	2022-10-12 14:04	tilt_masmith59	10	1	right	Exercise 5	1	7-44_upright_4_right	7-44	upright	4	right	(13, 13)	(-34, 2)	0.0	-4.0	4.0	1351	0	0
106	real	2022-10-12 14:04	tilt_masmith59	10	1	right	Exercise 5	1	7-44_inverted_12_right	7-44	inverted	12	right	(-19, -14)	(8, 3)	8.0	-4.0	4.0	3515	16	8
107	real	2022-10-12 14:04	tilt_masmith59	10	1	right	Exercise 5	1	7-44_upright_1_left	7-44	upright	1	left	(18, -1)	(2, -10)	-5.0	-4.0	4.0	1868	0	5
108	real	2022-10-12 14:04	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_inverted_9_right	ycyc	inverted	9	right	(-36, -3)	(18, 0)	7.0	-2.0	2.0	2400	7	0
109	real	2022-10-12 14:04	tilt_masmith59	10	1	right	Exercise 5	1	7-44_inverted_9_right	7-44	inverted	9	right	(6, 6)	(-31, -11)	8.0	-1.0	1.0	1968	9	1
110	real	2022-10-12 14:04	tilt_masmith59	10	1	right	Exercise 5	1	7-44_inverted_14_right	7-44	inverted	14	right	(-7, -7)	(-18, -13)	16.0	2.0	2.0	1888	16	0
111	real	2022-10-12 14:04	tilt_masmith59	10	1	right	Exercise 5	1	7-44_upright_14_right	7-44	upright	14	right	(18, -15)	(-21, -7)	14.0	0.0	0.0	2004	14	0
112	real	2022-10-12 14:04	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_upright_5_right	ycyc	upright	5	right	(-30, 14)	(27, -6)	8.0	3.0	3.0	2800	8	0
113	real	2022-10-12 14:04	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_inverted_11_left	ycyc	inverted	11	left	(-22, 9)	(-27, 2)	-10.0	1.0	1.0	1404	0	10
114	real	2022-10-12 14:04	tilt_masmith59	10	1	right	Exercise 5	1	7-44_inverted_12_left	7-44	inverted	12	left	(-25, -6)	(39, 10)	-13.0	-1.0	1.0	4972	19	32
