trial_number	practice_or_real	date_time	subj_code	seed	number_of_blocks	up_resp	expName	block_num	filename	displayed_string	orientation	true_angle	tilt_direction	standard_position	adjust_stim_position	matched_angle	signed_error	absolute_error	RT	num_mouse_wheel_up	num_mouse_wheel_down
103	real	2022-10-12 16:18	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_upright_9_left	ycyc	upright	9	left	(9, -13)	(-39, 6)	-7.0	2.0	2.0	1993	0	7
104	real	2022-10-12 16:18	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_inverted_16_right	ycyc	inverted	16	right	(15, 8)	(-17, 4)	15.0	-1.0	1.0	2262	20	5
105	real	2022-10-12 16:18	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_upright_5_left	7-44	upright	5	left	(13, 13)	(-34, 2)	-17.0	-12.0	12.0	2535	6	23
106	real	2022-10-12 16:18	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_upright_3_right	7-44	upright	3	right	(-19, -14)	(8, 3)	0.0	-3.0	3.0	831	0	0
107	real	2022-10-12 16:18	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_inverted_10_left	7-44	inverted	10	left	(18, -1)	(2, -10)	-8.0	2.0	2.0	2180	8	16
108	real	2022-10-12 16:18	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_inverted_9_right	ycyc	inverted	9	right	(-36, -3)	(18, 0)	0.0	-9.0	9.0	879	0	0
109	real	2022-10-12 16:19	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_inverted_12_left	ycyc	inverted	12	left	(6, 6)	(-31, -11)	-15.0	-3.0	3.0	2066	0	15
110	real	2022-10-12 16:19	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_upright_3_left	7-44	upright	3	left	(-7, -7)	(-18, -13)	0.0	3.0	3.0	1069	0	0
111	real	2022-10-12 16:19	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_upright_13_left	ycyc	upright	13	left	(18, -15)	(-21, -7)	-13.0	0.0	0.0	2079	5	18
112	real	2022-10-12 16:19	tilt_ezgimelisa	10	1	right	Exercise 5	1	ycyc_upright_11_left	ycyc	upright	11	left	(-30, 14)	(27, -6)	-17.0	-6.0	6.0	1718	0	17
113	real	2022-10-12 16:19	tilt_ezgimelisa	10	1	right	Exercise 5	1	7-44_upright_13_left	7-44	upright	13	left	(-22, 9)	(-27, 2)	-14.0	-1.0	1.0	2263	0	14
